City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Belem De Sao Francisco,BR,2022-05-15 23:50:40,-8.7539,-38.9658,78.12,70,99,16.37
252,Weiser,US,2022-05-15 23:50:40,44.251,-116.9693,88.0,40,64,5.01
253,Mukhen,RU,2022-05-15 23:50:40,48.1,136.1,51.57,56,36,12.19
254,Ballina,AU,2022-05-15 23:50:41,-28.8667,153.5667,77.77,84,7,4.79
255,Te Anau,NZ,2022-05-15 23:50:41,-45.4167,167.7167,55.62,60,8,2.42
256,Honiara,SB,2022-05-15 23:50:42,-9.4333,159.95,86.49,63,7,2.51
257,Waingapu,ID,2022-05-15 23:50:42,-9.6567,120.2641,80.6,74,49,4.27
258,Olga,RU,2022-05-15 23:50:43,43.7444,135.2892,58.93,51,32,3.31
259,Cidreira,BR,2022-05-15 23:50:43,-30.1811,-50.2056,60.62,85,99,16.31
260,Saint-Philippe,RE,2022-05-15 23:50:44,-21.3585,55.7679,69.39,87,52,10.65
261,Coquimbo,CL,2022-05-15 23:48:27,-29.9533,-71.3436,55.13,87,75,5.75
262,Deer Lake,CA,2022-05-15 23:50:44,49.1667,-57.4316,42.66,65,40,4.61
263,Calabozo,VE,2022-05-15 23:50:45,8.9242,-67.4293,87.66,40,98,1.3
264,Codrington,AU,2022-05-15 23:50:45,-38.2667,141.9667,54.14,71,100,13.71
265,San Policarpo,PH,2022-05-15 23:50:45,12.1791,125.5072,83.08,78,92,9.19
266,Chapleau,CA,2022-05-15 23:50:46,47.8405,-83.4034,62.69,27,20,11.5
267,Hobyo,SO,2022-05-15 23:50:46,5.3505,48.5268,79.57,83,28,23.09
268,Muros,ES,2022-05-15 23:50:47,42.7762,-9.0603,66.16,89,99,18.07
269,Acajutla,SV,2022-05-15 23:50:47,13.5928,-89.8275,85.42,70,64,6.98
270,Grand Gaube,MU,2022-05-15 23:50:48,-20.0064,57.6608,75.6,90,36,11.45
271,Lebu,CL,2022-05-15 23:50:48,-37.6167,-73.65,53.91,68,98,0.87
272,Bogale,MM,2022-05-15 23:50:49,16.2833,95.4,81.72,82,43,5.23
273,Fortuna,US,2022-05-15 23:50:23,40.5982,-124.1573,67.93,67,20,16.11
274,Sao Filipe,CV,2022-05-15 23:50:49,14.8961,-24.4956,75.0,76,44,7.94
275,Padang,ID,2022-05-15 23:50:50,-0.9492,100.3543,75.25,90,75,3.71
276,San Jose,US,2022-05-15 23:47:01,37.3394,-121.895,78.91,56,75,17.27
277,Launceston,AU,2022-05-15 23:51:50,-41.45,147.1667,53.8,74,56,18.41
278,Camara De Lobos,PT,2022-05-15 23:51:51,32.6333,-16.9667,69.71,85,20,2.3
279,Sovetskiy,RU,2022-05-15 23:51:51,61.3614,63.5842,44.06,92,56,4.85
280,Terney,RU,2022-05-15 23:51:52,45.0503,136.6092,54.48,56,22,5.5
281,Mwinilunga,ZM,2022-05-15 23:51:52,-11.7358,24.4293,60.58,51,64,6.42
282,Marsh Harbour,BS,2022-05-15 23:51:53,26.5412,-77.0636,79.27,76,6,9.37
283,Galdar,ES,2022-05-15 23:51:53,28.147,-15.6502,66.7,76,2,7.07
284,Bam,IR,2022-05-15 23:51:53,29.106,58.357,71.73,14,0,8.46
285,Honningsvag,NO,2022-05-15 23:51:54,70.9821,25.9704,38.95,81,100,11.5
286,Doha,QA,2022-05-15 23:49:26,25.2867,51.5333,84.18,44,0,6.91
287,Tigil,RU,2022-05-15 23:51:55,57.8,158.6667,48.27,62,100,10.31
288,Amazar,RU,2022-05-15 23:51:55,53.858,120.875,49.06,45,99,6.82
289,San Patricio,US,2022-05-15 23:51:56,28.017,-97.5169,91.54,60,0,17.16
290,Lakatoro,VU,2022-05-15 23:51:56,-16.0999,167.4164,81.77,66,93,11.1
291,Khash,IR,2022-05-15 23:51:57,28.2211,61.2158,62.82,25,0,3.0
292,Itarema,BR,2022-05-15 23:51:57,-2.9248,-39.9167,77.36,90,93,9.53
